Date,Amount,Category,Description
2025-11-01,52.30,Groceries,Supermarket visit
2025-11-02,18.60,Transport,Uber to downtown
2025-11-03,12.00,Restaurants,Coffee and snack
2025-11-03,89.99,Shopping,New headphones
2025-11-05,65.00,Utilities,Internet bill
2025-11-06,25.00,Entertainment,Movie tickets
2025-11-08,140.50,Travel,Hotel deposit
2025-11-10,30.00,Health,Pharmacy purchase
2025-11-12,75.25,Restaurants,Dinner with friends
2025-11-15,45.00,Transport,Gas refill
2025-11-15,400.00,Transport,Gas refill
2025-11-15,100.00,Transport,Gas refill
2025-11-12,60.25,Restaurants,Dinner with friends
2025-11-12,40.25,Restaurants,Dinner with friends2

